begin HEADER
  File_Creation = "2009-05-26T19:32:48 UTC"
  File_ID       = "GOSAT TANSO FTS Conversion Factors"
  Labels        = "Wavenumber" "CNV(B2P_gainH)" "CNV(B2S_gainH)" "CNV(B2P_gainM)" "CNV(B2S_gainM)"
  Num_Columns   = 5
  Num_Rows      = 8001
end HEADER

#      Wavenumber   CNV(B2P_gainH)   CNV(B2S_gainH)   CNV(B2P_gainM)   CNV(B2S_gainM)
   5.33699150e+03              N/A              N/A              N/A              N/A
   5.33719150e+03              N/A              N/A              N/A              N/A
   5.33739150e+03              N/A              N/A              N/A              N/A
   5.33759150e+03              N/A              N/A              N/A              N/A
   5.33779150e+03              N/A              N/A              N/A              N/A
   5.33799150e+03              N/A              N/A              N/A              N/A
   5.33819150e+03              N/A              N/A              N/A              N/A
   5.33839150e+03              N/A              N/A              N/A              N/A
   5.33859150e+03              N/A              N/A              N/A              N/A
   5.33879150e+03              N/A              N/A              N/A              N/A
   5.33899150e+03              N/A              N/A              N/A              N/A
   5.33919150e+03              N/A              N/A              N/A              N/A
   5.33939150e+03              N/A              N/A              N/A              N/A
   5.33959150e+03              N/A              N/A              N/A              N/A
   5.33979150e+03              N/A              N/A              N/A              N/A
   5.33999150e+03              N/A              N/A              N/A              N/A
   5.34019150e+03              N/A              N/A              N/A              N/A
   5.34039150e+03              N/A              N/A              N/A              N/A
   5.34059150e+03              N/A              N/A              N/A              N/A
   5.34079150e+03              N/A              N/A              N/A              N/A
   5.34099150e+03              N/A              N/A              N/A              N/A
   5.34119150e+03              N/A              N/A              N/A              N/A
   5.34139150e+03              N/A              N/A              N/A              N/A
   5.34159150e+03              N/A              N/A              N/A              N/A
   5.34179150e+03              N/A              N/A              N/A              N/A
   5.34199150e+03              N/A              N/A              N/A              N/A
   5.34219150e+03              N/A              N/A              N/A              N/A
   5.34239150e+03              N/A              N/A              N/A              N/A
   5.34259150e+03              N/A              N/A              N/A              N/A
   5.34279150e+03              N/A              N/A              N/A              N/A
   5.34299150e+03              N/A              N/A              N/A              N/A
   5.34319150e+03              N/A              N/A              N/A              N/A
   5.34339150e+03              N/A              N/A              N/A              N/A
   5.34359150e+03              N/A              N/A              N/A              N/A
   5.34379140e+03              N/A              N/A              N/A              N/A
   5.34399140e+03              N/A              N/A              N/A              N/A
   5.34419140e+03              N/A              N/A              N/A              N/A
   5.34439140e+03              N/A              N/A              N/A              N/A
   5.34459140e+03              N/A              N/A              N/A              N/A
   5.34479140e+03              N/A              N/A              N/A              N/A
   5.34499140e+03              N/A              N/A              N/A              N/A
   5.34519140e+03              N/A              N/A              N/A              N/A
   5.34539140e+03              N/A              N/A              N/A              N/A
   5.34559140e+03              N/A              N/A              N/A              N/A
   5.34579140e+03              N/A              N/A              N/A              N/A
   5.34599140e+03              N/A              N/A              N/A              N/A
   5.34619140e+03              N/A              N/A              N/A              N/A
   5.34639140e+03              N/A              N/A              N/A              N/A
   5.34659140e+03              N/A              N/A              N/A              N/A
   5.34679140e+03              N/A              N/A              N/A              N/A
   5.34699140e+03              N/A              N/A              N/A              N/A
   5.34719140e+03              N/A              N/A              N/A              N/A
   5.34739140e+03              N/A              N/A              N/A              N/A
   5.34759140e+03              N/A              N/A              N/A              N/A
   5.34779140e+03              N/A              N/A   1.83433154e-04   3.89341637e-05
   5.34799140e+03              N/A              N/A   1.72914568e-04  -3.55394649e-04
   5.34819140e+03              N/A              N/A   1.24377128e-04   1.08111877e-04
   5.34839140e+03              N/A              N/A   1.68395151e-04   5.20046275e-04
   5.34859140e+03              N/A              N/A   7.01916198e-05   3.20173680e-05
   5.34879140e+03              N/A              N/A   1.01881014e-03   2.50160992e-04
   5.34899140e+03              N/A              N/A   6.81406308e-05   5.40364974e-05
   5.34919140e+03              N/A              N/A  -7.19080756e-04   8.58152895e-05
   5.34939140e+03              N/A              N/A  -2.02820991e-03   4.62680512e-05
   5.34959140e+03              N/A              N/A   1.14414959e-04  -1.20475629e-03
   5.34979140e+03              N/A              N/A   8.13036597e-05   4.77797505e-05
   5.34999140e+03              N/A              N/A   1.31563894e-04  -9.39947656e-04
   5.35019140e+03              N/A              N/A   5.72743648e-05   6.06527272e-05
   5.35039140e+03              N/A              N/A   7.77610647e-05   2.54240687e-04
   5.35059140e+03              N/A              N/A   8.40534925e-05   1.01738289e-04
   5.35079140e+03              N/A              N/A   1.15432145e-04  -2.04185551e-04
   5.35099140e+03              N/A              N/A   8.13520104e-05   1.40532596e-04
   5.35119140e+03              N/A              N/A   2.79825299e-04   3.37067743e-04
   5.35139140e+03              N/A              N/A   5.04643874e-05   5.54641148e-05
   5.35159140e+03              N/A              N/A   2.08927631e-04   3.56576504e-04
   5.35179140e+03              N/A              N/A   1.47411585e-04   1.62510327e-04
   5.35199140e+03              N/A              N/A   1.09052786e-04   1.61001531e-03
   5.35219140e+03              N/A              N/A   2.63579370e-04   4.98105869e-05
   5.35239140e+03              N/A              N/A   1.58358120e-04   1.87982168e-04
   5.35259140e+03              N/A              N/A   3.00765407e-04   6.37292845e-05
   5.35279140e+03              N/A              N/A   8.29272229e-05   1.47562426e-04
   5.35299140e+03              N/A              N/A  -1.80810338e-03   4.52322326e-05
   5.35319140e+03              N/A              N/A  -1.18326789e-03  -2.21688437e-03
   5.35339140e+03              N/A              N/A   7.44329085e-05   5.43834523e-05
   5.35359140e+03              N/A              N/A   1.50622489e-04   8.50269937e-04
   5.35379140e+03              N/A              N/A   8.82573184e-05   4.16707156e-05
   5.35399140e+03              N/A              N/A   1.05209767e-04   3.08011900e-04
   5.35419140e+03              N/A              N/A   6.55410505e-04   6.05277578e-05
   5.35439140e+03              N/A              N/A   7.86372979e-05   1.02213077e-03
   5.35459140e+03              N/A              N/A   1.50838217e-04   7.38046502e-05
   5.35479140e+03              N/A              N/A   1.30081561e-04   7.77536680e-05
   5.35499140e+03              N/A              N/A   7.44708229e-05   4.83194838e-05
   5.35519140e+03              N/A              N/A   6.43087529e-05   1.19769654e-04
   5.35539140e+03              N/A              N/A   1.35720067e-04   1.21623822e-04
   5.35559140e+03              N/A              N/A   9.30967550e-05   1.72717571e-04
   5.35579140e+03              N/A              N/A   4.91007754e-05   4.99867383e-05
   5.35599140e+03              N/A              N/A   2.11729351e-04  -5.74190189e-04
   5.35619140e+03              N/A              N/A   1.41027064e-04   8.28011892e-05
   5.35639140e+03              N/A              N/A   1.25672597e-04   1.19336619e-04
   5.35659140e+03              N/A              N/A   1.01019319e-04   6.13910500e-05
   5.35679140e+03              N/A              N/A   1.66206353e-04  -2.24886722e-04
   5.35699140e+03              N/A              N/A   8.32068853e-05   6.75502859e-05
   5.35719140e+03              N/A              N/A   1.94661863e-04  -4.53157508e-04
   5.35739140e+03              N/A              N/A   4.72131620e-04   6.27011726e-05
   5.35759140e+03              N/A              N/A  -3.72322056e-04   2.03945325e-04
   5.35779140e+03              N/A              N/A   1.01497153e-04   1.22091828e-04
   5.35799140e+03              N/A              N/A   6.89773797e-05   2.90255034e-04
   5.35819140e+03              N/A              N/A   7.11851232e-05   6.64104998e-05
   5.35839140e+03              N/A              N/A   1.00240073e-04  -3.37151930e-04
