Solar Doppler Velocity [m/s]:   298.33                # Note: Positive means FOV moving TOWARDS the sun.
Solar Intensity Units are: ph/s/m^2/um    
Distance to Sun in AU:    1.00721
S = Solar Rest Frame.  E = earth-centered rest frame.
        Wavenumber_E        Wavenumber_S   Wavelength_S [um]       Transmittance           Intensity
          4892.47000          4892.46513        2.0439593807        0.9995570541        0.115967E+22
          4892.46000          4892.45513        2.0439635585        0.9996247651        0.115974E+22
          4892.45000          4892.44513        2.0439677363        0.9996788313        0.115980E+22
          4892.44000          4892.43513        2.0439719141        0.9997224697        0.115984E+22
          4892.43000          4892.42513        2.0439760919        0.9997580567        0.115987E+22
          4892.42000          4892.41513        2.0439802698        0.9997873543        0.115990E+22
          4892.41000          4892.40513        2.0439844476        0.9998116796        0.115992E+22
          4892.40000          4892.39513        2.0439886255        0.9998320270        0.115994E+22
          4892.39000          4892.38513        2.0439928034        0.9998491550        0.115995E+22
          4892.38000          4892.37513        2.0439969813        0.9998636485        0.115996E+22
          4892.37000          4892.36513        2.0440011592        0.9998759628        0.115997E+22
          4892.36000          4892.35513        2.0440053372        0.9998864551        0.115998E+22
          4892.35000          4892.34513        2.0440095151        0.9998954078        0.115998E+22
          4892.34000          4892.33513        2.0440136931        0.9999030451        0.115998E+22
          4892.33000          4892.32513        2.0440178711        0.9999095452        0.115999E+22
          4892.32000          4892.31513        2.0440220491        0.9999150496        0.115999E+22
          4892.31000          4892.30513        2.0440262272        0.9999196698        0.115998E+22
          4892.30000          4892.29513        2.0440304052        0.9999234917        0.115998E+22
          4892.29000          4892.28513        2.0440345833        0.9999265798        0.115998E+22
          4892.28000          4892.27513        2.0440387614        0.9999289787        0.115998E+22
          4892.27000          4892.26513        2.0440429395        0.9999307150        0.115997E+22
          4892.26000          4892.25513        2.0440471176        0.9999317972        0.115997E+22
          4892.25000          4892.24513        2.0440512957        0.9999322156        0.115996E+22
          4892.24000          4892.23513        2.0440554739        0.9999319406        0.115995E+22
          4892.23000          4892.22513        2.0440596520        0.9999309197        0.115995E+22
          4892.22000          4892.21513        2.0440638302        0.9999290738        0.115994E+22
          4892.21000          4892.20513        2.0440680084        0.9999262914        0.115993E+22
          4892.20000          4892.19513        2.0440721866        0.9999224200        0.115992E+22
          4892.19000          4892.18513        2.0440763649        0.9999172546        0.115990E+22
          4892.18000          4892.17513        2.0440805431        0.9999105218        0.115989E+22
          4892.17000          4892.16513        2.0440847214        0.9999018575        0.115987E+22
          4892.16000          4892.15513        2.0440888997        0.9998907754        0.115985E+22
          4892.15000          4892.14513        2.0440930780        0.9998766236        0.115983E+22
          4892.14000          4892.13513        2.0440972563        0.9998585223        0.115980E+22
          4892.13000          4892.12513        2.0441014346        0.9998352759        0.115977E+22
          4892.12000          4892.11513        2.0441056130        0.9998052465        0.115973E+22
          4892.11000          4892.10513        2.0441097914        0.9997661737        0.115968E+22
          4892.10000          4892.09513        2.0441139697        0.9997149152        0.115961E+22
          4892.09000          4892.08513        2.0441181482        0.9996470775        0.115952E+22
          4892.08000          4892.07513        2.0441223266        0.9995564941        0.115941E+22
          4892.07000          4892.06513        2.0441265050        0.9994345054        0.115927E+22
          4892.06000          4892.05513        2.0441306835        0.9992690031        0.115907E+22
          4892.05000          4892.04513        2.0441348619        0.9990432480        0.115880E+22
          4892.04000          4892.03513        2.0441390404        0.9987345952        0.115843E+22
          4892.03000          4892.02513        2.0441432189        0.9983135262        0.115794E+22
          4892.02000          4892.01513        2.0441473975        0.9977438483        0.115727E+22
          4892.01000          4892.00513        2.0441515760        0.9969855557        0.115639E+22
