begin HEADER
  File_Creation        = "2009-11-10T23:04:33"
  File_ID              = "GOSAT Noise for Pol: S, Gain: M. Example only, real values vary with scene"
  Labels               = "COLOR_1" "CNV_COEF_1" "COLOR_2" "CNV_COEF_2" "COLOR_3" "CNV_COEF_3"
  Num_Columns          = 6
  Num_Rows             = 3508
  band_noise_values    = 2.510131e-01 1.085544e-01 1.214302e-01
  source_acos_l1b_file = /test/gds/system_test/B2.05.01/l1b/acos_L1b_090724_01_Production090929_091019194551t.hdf
  source_sounding_id   = 20090724012908
end HEADER

#         COLOR_1       CNV_COEF_1          COLOR_2       CNV_COEF_2          COLOR_3       CNV_COEF_3
   1.23000000e+02   4.42791048e-08   1.23000000e+02   4.68941259e-08   1.23000000e+02   2.41652600e-08
   1.24000000e+02   4.42692674e-08   1.24000000e+02   4.67764600e-08   1.24000000e+02   2.41545859e-08
   1.25000000e+02   4.42540760e-08   1.25000000e+02   4.67470365e-08   1.25000000e+02   2.41477665e-08
   1.26000000e+02   4.42380745e-08   1.26000000e+02   4.67817856e-08   1.26000000e+02   2.41435245e-08
   1.27000000e+02   4.42236008e-08   1.27000000e+02   4.68725077e-08   1.27000000e+02   2.41361313e-08
   1.28000000e+02   4.42118271e-08   1.28000000e+02   4.69663313e-08   1.28000000e+02   2.41235405e-08
   1.29000000e+02   4.42000569e-08   1.29000000e+02   4.70131454e-08   1.29000000e+02   2.41160016e-08
   1.30000000e+02   4.41825954e-08   1.30000000e+02   4.69793875e-08   1.30000000e+02   2.41063187e-08
   1.31000000e+02   4.41641781e-08   1.31000000e+02   4.69148453e-08   1.31000000e+02   2.40948772e-08
   1.32000000e+02   4.41505854e-08   1.32000000e+02   4.67900918e-08   1.32000000e+02   2.40900189e-08
   1.33000000e+02   4.41460024e-08   1.33000000e+02   4.66828993e-08   1.33000000e+02   2.40826932e-08
   1.34000000e+02   4.41414194e-08   1.34000000e+02   4.66317047e-08   1.34000000e+02   2.40748523e-08
   1.35000000e+02   4.41368897e-08   1.35000000e+02   4.66589434e-08   1.35000000e+02   2.40592808e-08
   1.36000000e+02   4.41323671e-08   1.36000000e+02   4.67252086e-08   1.36000000e+02   2.40530227e-08
   1.37000000e+02   4.41248424e-08   1.37000000e+02   4.68130636e-08   1.37000000e+02   2.40422757e-08
